#Core: ddr2_phy - Instance: mem_ctrl_m0|ddr_m0|ddr2_controller_phy_inst|ddr2_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",3.300,1.248
"DQS vs CK (Slow 1200mV 85C Model)",1.315,1.288
"Mimic (Slow 1200mV 85C Model)",1.031,
"Phy (Slow 1200mV 85C Model)",1.031,0.242
"Phy Reset (Slow 1200mV 85C Model)",3.327,0.896
"Read Capture (Slow 1200mV 85C Model)",0.404,0.409
"Write (Slow 1200mV 85C Model)",0.443,0.659
 
"Address Command (Slow 1200mV 0C Model)",3.439,1.194
"DQS vs CK (Slow 1200mV 0C Model)",1.330,1.303
"Mimic (Slow 1200mV 0C Model)",1.079,
"Phy (Slow 1200mV 0C Model)",1.079,0.238
"Phy Reset (Slow 1200mV 0C Model)",3.604,0.807
"Read Capture (Slow 1200mV 0C Model)",0.403,0.408
"Write (Slow 1200mV 0C Model)",0.458,0.674
 
"Address Command (Fast 1200mV 0C Model)",3.691,1.125
"DQS vs CK (Fast 1200mV 0C Model)",1.423,1.367
"Mimic (Fast 1200mV 0C Model)",1.526,
"Phy (Fast 1200mV 0C Model)",1.526,0.103
"Phy Reset (Fast 1200mV 0C Model)",4.156,0.488
"Read Capture (Fast 1200mV 0C Model)",0.442,0.447
"Write (Fast 1200mV 0C Model)",0.537,0.737
